plant_community_code,analysis_name,prominence_value,constancy_percent
CPC29,Carex_prairea,4.55,22.2
CPC29,Cerastium_arvense,0.61,55.6
CPC29,Cirsium_arvense,0.71,22.2
CPC29,Cirsium_flodmanii,0.73,44.4
CPC29,Elaeagnus_commutata,6.13,22.2
CPC29,Elymus_trachycaulus,6.17,100
CPC29,Festuca_hallii,40.49,100
CPC29,Festuca_saximontana,0.26,22.2
CPC29,Galium_boreale,0.27,33.3
CPC29,Geum_triflorum,0.61,22.2
CPC29,Helictochloa_hookeri,0.35,33.3
CPC29,Hesperostipa_curtiseta,11.22,88.9
CPC29,Koeleria_macrantha,2.38,44.4
CPC29,Muhlenbergia_cuspidata,0.92,33.3
CPC29,Poa_interior,0.82,22.2
CPC29,Poa_pratensis,3.16,66.7
CPC29,Rosa_arkansana,3.38,100
CPC29,Salix_bebbiana,1.07,55.6
CPC29,Salix_petiolaris,0.23,33.3
CPC29,Solidago_canadensis,0.77,33.3
CPC29,Solidago_missouriensis,0.4,22.2
CPC29,Solidago_simplex,0.59,22.2
CPC29,Symphoricarpos_occidentalis,22.33,100
CPC29,Symphyotrichum_falcatum,2.22,77.8
CPC29,Symphyotrichum_laeve,2.54,66.7
CPC29,Vicia_americana,0.49,55.6
CPC5,Achillea_millefolium,0.83,87.5
CPC5,Agoseris_glauca,0.2,34.4
CPC5,Agrostis_scabra,0.66,59.4
CPC5,Amelanchier_alnifolia,1.51,25
CPC5,Androsace_septentrionalis,0.2,46.9
CPC5,Artemisia_campestris,0.83,43.8
CPC5,Artemisia_frigida,4.63,93.8
CPC5,Artemisia_ludoviciana,1.98,96.9
CPC5,Bouteloua_gracilis,0.81,34.4
CPC5,Bromus_inermis,1.1,25
CPC5,Campanula_rotundifolia,0.22,56.3
CPC5,Carex,5.03,90.6
CPC5,Cerastium_arvense,1.52,78.1
CPC5,Comandra_umbellata,0.35,40.6
CPC5,Elaeagnus_commutata,8.62,100
CPC5,Elymus_trachycaulus,2.75,93.8
CPC5,Equisetum_hyemale,0.24,59.4
CPC5,Festuca_hallii,11.14,100
CPC5,Festuca_saximontana,0.51,34.4
CPC5,Galium_boreale,0.99,65.6
CPC5,Geum_triflorum,0.33,25
CPC5,Helictochloa_hookeri,0.28,34.4
CPC5,Hesperostipa_comata,2.86,43.8
CPC5,Hesperostipa_curtiseta,8.17,100
CPC5,Heterotheca_villosa,0.63,46.9
CPC5,Koeleria_macrantha,1.89,87.5
CPC5,Poa_pratensis,1.8,71.9
CPC5,Populus_tremuloides,2.2,21.9
CPC5,Prunus_virginiana,1.51,37.5
CPC5,Rosa_woodsii,7.03,90.6
CPC5,Solidago_missouriensis,1.83,96.9
CPC5,Sporobolus_rigidus,2.2,68.8
CPC5,Symphoricarpos_occidentalis,7.17,90.6
CPC5,Symphyotrichum_laeve,0.45,21.9
CPC5,Thermopsis_rhombifolia,1.4,75
CPC5,Vicia_americana,0.31,31.3
CU-LM-A,Achillea_millefolium,1.07,83.33
CU-LM-A,Agoseris_glauca,0.56,45.83
CU-LM-A,Agrostis_scabra,0.37,37.5
CU-LM-A,Allium_cernuum,0.18,25
CU-LM-A,Arnica_fulgens,0.46,29.17
CU-LM-A,Artemisia_frigida,1.74,20.83
CU-LM-A,Artemisia_ludoviciana,0.58,29.17
CU-LM-A,Calamagrostis_montanensis,0.43,20.83
CU-LM-A,Campanula_rotundifolia,0.35,50
CU-LM-A,Carex,2.45,41.67
CU-LM-A,Carex_inops,3.01,37.5
CU-LM-A,Carex_obtusata,1.07,50
